,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls,total.players,majmin
210,85,303,Individuals in voting groups,18,5,4,1,1,4,5,0,1,0,0,0,90,NA,majority
211,85,303,Individuals in voting groups,19,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
212,85,303,Individuals in voting groups,20,4,3,1,1,3,4,0,0,0,0,NA,90,NA,majority
213,113,303,Individuals in voting groups,1,5,4,0,0,5,4,0,1,0,0,0,90,NA,majority
214,113,303,Individuals in voting groups,2,1,-4,0,0,1,-4,1,1,0,0,0,50,NA,majority
215,113,303,Individuals in voting groups,3,1,-2,0,0,1,-2,1,1,0,0,1,50,NA,majority
216,113,303,Individuals in voting groups,4,1,-2,1,0,1,-2,1,1,0,0,0,50,NA,minority
217,113,303,Individuals in voting groups,5,1,-3,1,0,1,-3,1,1,0,0,0,50,NA,minority
218,113,303,Individuals in voting groups,6,1,-3,1,0,1,-3,1,0,0,0,0,50,NA,minority
219,113,303,Individuals in voting groups,7,1,-2,1,0,1,-2,1,0,0,0,0,50,NA,minority
220,113,303,Individuals in voting groups,8,2,2,1,1,2,2,0,1,0,0,1,50,NA,majority
221,113,303,Individuals in voting groups,9,1,-4,0,0,1,-4,1,0,0,0,0,50,NA,majority
222,113,303,Individuals in voting groups,10,2,1,0,1,1,2,0,1,0,0,0,50,NA,minority
223,113,303,Individuals in voting groups,11,2,1,0,1,1,2,0,0,0,0,0,50,NA,minority
224,113,303,Individuals in voting groups,12,1,2,0,1,2,1,0,1,0,0,0,50,NA,minority
225,113,303,Individuals in voting groups,13,5,4,0,1,4,5,0,1,0,0,0,90,NA,minority
226,113,303,Individuals in voting groups,14,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
227,113,303,Individuals in voting groups,15,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
228,113,303,Individuals in voting groups,16,4,5,0,1,5,4,0,1,0,0,0,90,NA,minority
229,113,303,Individuals in voting groups,17,2,1,0,1,1,2,0,0,0,0,0,50,NA,minority
230,113,303,Individuals in voting groups,18,5,4,0,1,4,5,0,1,0,0,0,90,NA,minority
231,113,303,Individuals in voting groups,19,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
232,113,303,Individuals in voting groups,20,4,5,0,1,5,4,0,0,0,0,NA,90,NA,minority
233,142,303,Individuals in voting groups,1,4,4,1,0,4,4,0,1,0,0,1,90,NA,minority
234,142,303,Individuals in voting groups,2,1,-3,0,0,1,-3,1,1,0,0,0,50,NA,majority
235,142,303,Individuals in voting groups,3,1,-4,0,0,1,-4,1,1,0,0,0,50,NA,majority
236,142,303,Individuals in voting groups,4,1,-4,0,0,1,-4,1,1,0,0,0,50,NA,majority
237,142,303,Individuals in voting groups,5,1,-3,0,0,1,-3,1,1,0,0,0,50,NA,majority
238,142,303,Individuals in voting groups,6,1,-3,0,0,1,-3,1,0,0,0,0,50,NA,majority
239,142,303,Individuals in voting groups,7,2,-4,0,0,2,-4,1,0,0,0,0,50,NA,majority
240,142,303,Individuals in voting groups,8,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
241,142,303,Individuals in voting groups,9,1,-3,0,0,1,-3,1,0,0,0,1,50,NA,majority
242,142,303,Individuals in voting groups,10,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
243,142,303,Individuals in voting groups,11,1,1,1,1,1,1,0,0,0,0,0,50,NA,majority
244,142,303,Individuals in voting groups,12,1,2,1,1,2,1,0,1,0,0,0,50,NA,majority
245,142,303,Individuals in voting groups,13,4,3,1,1,3,4,0,1,0,0,0,90,NA,majority
246,142,303,Individuals in voting groups,14,1,1,1,1,1,1,0,1,0,0,0,50,NA,majority
247,142,303,Individuals in voting groups,15,2,2,1,1,2,2,0,1,0,0,0,50,NA,majority
248,142,303,Individuals in voting groups,16,4,3,1,1,3,4,0,1,0,0,0,90,NA,majority
249,142,303,Individuals in voting groups,17,2,2,1,1,2,2,0,0,0,0,0,50,NA,majority
250,142,303,Individuals in voting groups,18,5,5,1,1,5,5,0,1,0,0,0,90,NA,majority
251,142,303,Individuals in voting groups,19,2,1,1,1,1,2,0,1,0,0,0,50,NA,majority
252,142,303,Individuals in voting groups,20,5,5,1,1,5,5,0,0,0,0,NA,90,NA,majority
253,4,304,Individuals in voting groups,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,29,304,Individuals in voting groups,1,5,5,1,1,5,5,0,1,0,0,0,90,NA,majority
255,29,304,Individuals in voting groups,2,1,2,1,1,2,1,0,0,0,0,0,50,NA,majority
256,29,304,Individuals in voting groups,3,2,1,1,1,1,2,0,0,0,0,1,50,NA,majority
257,29,304,Individuals in voting groups,4,1,1,0,1,1,1,0,0,0,0,0,50,NA,minority
258,29,304,Individuals in voting groups,5,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
259,29,304,Individuals in voting groups,6,1,2,0,1,2,1,0,0,0,0,0,50,NA,minority
260,29,304,Individuals in voting groups,7,5,5,0,1,5,5,0,1,0,0,0,90,NA,minority
261,29,304,Individuals in voting groups,8,2,2,0,1,2,2,0,1,0,0,0,50,NA,minority
262,29,304,Individuals in voting groups,9,1,1,0,1,1,1,0,0,0,0,0,50,NA,minority
263,29,304,Individuals in voting groups,10,1,1,0,1,1,1,0,0,0,0,0,50,NA,minority
264,29,304,Individuals in voting groups,11,5,5,0,1,5,5,0,1,0,0,0,90,NA,minority
265,29,304,Individuals in voting groups,12,1,1,0,1,1,1,0,1,0,0,0,50,NA,minority
266,29,304,Individuals in voting groups,13,2,2,0,1,2,2,0,0,0,0,0,50,NA,minority
267,29,304,Individuals in voting groups,14,1,1,0,1,1,1,0,0,0,0,0,50,NA,minority
268,29,304,Individuals in voting groups,15,1,2,0,1,2,1,0,0,0,0,0,50,NA,minority
269,29,304,Individuals in voting groups,16,5,4,0,1,4,5,0,1,0,0,0,90,NA,minority
270,29,304,Individuals in voting groups,17,2,2,0,1,2,2,0,1,0,0,0,50,NA,minority
271,29,304,Individuals in voting groups,18,5,5,0,1,5,5,0,1,0,0,0,90,NA,minority
