,id,trial,treatment,conf.HA,conf.SA,sel.adv,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,dominant.balls
319,16,19,Individuals,1,1,1,1,1,0,1,1,1,0,50
320,16,20,Individuals,2,1,1,1,2,0,0,0,0,NA,50
321,17,1,Individuals,2,-4,0,2,-4,1,0,0,1,1,50
322,17,2,Individuals,1,1,1,1,1,0,1,1,1,0,50
323,17,3,Individuals,1,1,1,1,1,0,1,1,1,0,50
324,17,4,Individuals,1,1,1,1,1,0,0,0,0,0,50
325,17,5,Individuals,4,3,1,3,4,0,1,1,1,0,90
326,17,6,Individuals,1,1,1,1,1,0,0,0,0,0,50
327,17,7,Individuals,4,4,1,4,4,0,1,1,1,0,90
328,17,8,Individuals,1,1,1,1,1,0,1,1,1,0,50
329,17,9,Individuals,1,1,1,1,1,0,1,1,1,0,50
330,17,10,Individuals,4,5,1,5,4,0,1,1,1,0,90
331,17,11,Individuals,2,1,1,1,2,0,0,0,0,0,50
332,17,12,Individuals,1,1,1,1,1,0,1,1,1,0,50
333,17,13,Individuals,1,1,1,1,1,0,0,0,0,0,50
334,17,14,Individuals,1,1,1,1,1,0,0,0,0,0,50
335,17,15,Individuals,5,5,1,5,5,0,1,1,1,0,90
336,17,16,Individuals,1,1,1,1,1,0,0,0,0,0,50
337,17,17,Individuals,1,2,1,2,1,0,0,0,0,0,50
338,17,18,Individuals,2,1,1,1,2,0,0,0,0,0,50
339,17,19,Individuals,4,4,1,4,4,0,1,1,1,0,90
340,17,20,Individuals,1,1,1,1,1,0,0,0,0,NA,50
341,18,1,Individuals,3,5,1,5,3,0,1,1,1,1,90
342,18,2,Individuals,4,3,0,4,3,0,1,1,1,0,90
343,18,3,Individuals,2,-4,0,2,-4,1,0,0,1,0,50
344,18,4,Individuals,2,-2,0,2,-2,1,0,0,1,0,50
345,18,5,Individuals,1,-3,0,1,-3,1,0,0,1,1,50
346,18,6,Individuals,4,4,1,4,4,0,1,1,1,0,90
347,18,7,Individuals,2,1,1,1,2,0,0,0,0,0,50
348,18,8,Individuals,1,1,1,1,1,0,1,1,1,1,50
349,18,9,Individuals,2,-2,0,2,-2,1,1,1,0,1,50
350,18,10,Individuals,1,1,1,1,1,0,1,1,1,0,50
351,18,11,Individuals,1,1,1,1,1,0,1,1,1,1,50
352,18,12,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
353,18,13,Individuals,5,4,1,4,5,0,1,1,1,0,90
354,18,14,Individuals,1,1,1,1,1,0,0,0,0,1,50
355,18,15,Individuals,1,-2,0,1,-2,1,1,1,0,1,50
356,18,16,Individuals,1,1,1,1,1,0,1,1,1,0,50
357,18,17,Individuals,1,1,1,1,1,0,1,1,1,1,50
358,18,18,Individuals,1,-3,0,1,-3,1,1,1,0,1,50
359,18,19,Individuals,4,4,1,4,4,0,1,1,1,0,90
360,18,20,Individuals,1,1,1,1,1,0,1,1,1,NA,50
361,19,1,Individuals,2,-2,0,2,-2,1,0,0,1,1,50
362,19,2,Individuals,1,1,1,1,1,0,0,0,0,0,50
363,19,3,Individuals,1,1,1,1,1,0,0,0,0,0,50
364,19,4,Individuals,2,1,1,1,2,0,1,1,1,1,50
365,19,5,Individuals,4,5,0,4,5,0,1,1,1,0,90
366,19,6,Individuals,4,4,0,4,4,0,1,1,1,1,90
367,19,7,Individuals,1,2,1,2,1,0,1,1,1,0,50
368,19,8,Individuals,1,1,1,1,1,0,1,1,1,0,50
369,19,9,Individuals,2,1,1,1,2,0,0,0,0,1,50
370,19,10,Individuals,5,5,0,5,5,0,1,1,1,1,90
371,19,11,Individuals,4,3,1,3,4,0,1,1,1,0,90
372,19,12,Individuals,1,1,1,1,1,0,0,0,0,0,50
373,19,13,Individuals,1,1,1,1,1,0,0,0,0,1,50
374,19,14,Individuals,1,-2,0,1,-2,1,0,0,1,0,50
375,19,15,Individuals,4,5,0,4,5,0,1,1,1,0,90
376,19,16,Individuals,2,-4,0,2,-4,1,0,0,1,1,50
377,19,17,Individuals,1,1,1,1,1,0,1,1,1,0,50
378,19,18,Individuals,2,1,1,1,2,0,1,1,1,0,50
379,19,19,Individuals,1,2,1,2,1,0,0,0,0,1,50
380,19,20,Individuals,1,-2,0,1,-2,1,0,0,1,NA,50
381,20,1,Individuals,1,-4,0,1,-4,1,0,0,1,1,50
382,20,2,Individuals,1,1,1,1,1,0,0,0,0,1,50
383,20,3,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
384,20,4,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
385,20,5,Individuals,3,5,0,3,5,0,1,1,1,0,90
386,20,6,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
387,20,7,Individuals,5,3,0,5,3,0,1,1,1,0,90
388,20,8,Individuals,5,5,0,5,5,0,1,1,1,0,90
389,20,9,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
390,20,10,Individuals,2,-3,0,2,-3,1,0,0,1,0,50
391,20,11,Individuals,1,-3,0,1,-3,1,1,1,0,0,50
392,20,12,Individuals,4,4,0,4,4,0,1,1,1,0,90
393,20,13,Individuals,1,-4,0,1,-4,1,1,1,0,0,50
394,20,14,Individuals,2,-4,0,2,-4,1,0,0,1,0,50
395,20,15,Individuals,1,-3,0,1,-3,1,0,0,1,0,50
396,20,16,Individuals,2,-3,0,2,-3,1,0,0,1,1,50
397,20,17,Individuals,1,1,1,1,1,0,1,1,1,0,50
398,20,18,Individuals,1,1,1,1,1,0,0,0,0,0,50
399,20,19,Individuals,4,5,1,5,4,0,0,0,0,1,90
400,20,20,Individuals,1,-4,0,1,-4,1,1,1,0,NA,50
401,21,1,Individuals,2,1,1,1,2,0,1,1,1,1,50
402,21,2,Individuals,1,-2,0,1,-2,1,1,1,0,1,50
403,21,3,Individuals,2,1,1,1,2,0,0,0,0,1,50
404,21,4,Individuals,1,-4,0,1,-4,1,0,0,1,1,50
